model,condition,category,n_pairs,both_correct,one_correct,neither_correct,pair_correct,item_accuracy,same_answer,invalid_pairs
NoMeta,Base,All,348,43,285,20,0.1235632183908046,0.5330459770114943,285,0
NoMeta,Base,object_existence,104,16,84,4,0.15384615384615385,0.5576923076923077,84,0
NoMeta,Base,ego_relative_spatial,41,1,40,0,0.024390243902439025,0.5121951219512195,40,0
NoMeta,Base,motion_action,203,26,161,16,0.12807881773399016,0.5246305418719212,161,0
NoMeta,Prompt,All,348,39,283,26,0.11206896551724138,0.5186781609195402,283,0
NoMeta,Prompt,object_existence,104,15,87,2,0.14423076923076922,0.5625,87,0
NoMeta,Prompt,ego_relative_spatial,41,1,40,0,0.024390243902439025,0.5121951219512195,40,0
NoMeta,Prompt,motion_action,203,23,156,24,0.11330049261083744,0.4975369458128079,156,0
NoMeta,TSCD 0.5,All,348,42,279,27,0.1206896551724138,0.521551724137931,279,0
NoMeta,TSCD 0.5,object_existence,104,15,84,5,0.14423076923076922,0.5480769230769231,84,0
NoMeta,TSCD 0.5,ego_relative_spatial,41,3,38,0,0.07317073170731707,0.5365853658536586,38,0
NoMeta,TSCD 0.5,motion_action,203,24,157,22,0.11822660098522167,0.5049261083743842,157,0
NoMeta,TSCD 1,All,348,42,280,26,0.1206896551724138,0.5229885057471264,280,0
NoMeta,TSCD 1,object_existence,104,15,84,5,0.14423076923076922,0.5480769230769231,84,0
NoMeta,TSCD 1,ego_relative_spatial,41,3,38,0,0.07317073170731707,0.5365853658536586,38,0
NoMeta,TSCD 1,motion_action,203,24,158,21,0.11822660098522167,0.5073891625615764,158,0
NoMeta,TSCD 1.5,All,348,40,282,26,0.11494252873563218,0.5201149425287356,282,0
NoMeta,TSCD 1.5,object_existence,104,13,86,5,0.125,0.5384615384615384,86,0
NoMeta,TSCD 1.5,ego_relative_spatial,41,3,38,0,0.07317073170731707,0.5365853658536586,38,0
NoMeta,TSCD 1.5,motion_action,203,24,158,21,0.11822660098522167,0.5073891625615764,158,0
Meta,Base,All,38,2,35,1,0.05263157894736842,0.5131578947368421,35,0
Meta,Base,object_existence,20,2,18,0,0.1,0.55,18,0
Meta,Base,ego_relative_spatial,5,0,5,0,0.0,0.5,5,0
Meta,Base,motion_action,13,0,12,1,0.0,0.46153846153846156,12,0
Meta,Prompt,All,38,3,33,2,0.07894736842105263,0.5131578947368421,33,0
Meta,Prompt,object_existence,20,3,17,0,0.15,0.575,17,0
Meta,Prompt,ego_relative_spatial,5,0,5,0,0.0,0.5,5,0
Meta,Prompt,motion_action,13,0,11,2,0.0,0.4230769230769231,11,0
Meta,TSCD 0.5,All,38,4,33,1,0.10526315789473684,0.5394736842105263,33,0
Meta,TSCD 0.5,object_existence,20,4,16,0,0.2,0.6,16,0
Meta,TSCD 0.5,ego_relative_spatial,5,0,5,0,0.0,0.5,5,0
Meta,TSCD 0.5,motion_action,13,0,12,1,0.0,0.46153846153846156,12,0
Meta,TSCD 1,All,38,4,33,1,0.10526315789473684,0.5394736842105263,33,0
Meta,TSCD 1,object_existence,20,4,16,0,0.2,0.6,16,0
Meta,TSCD 1,ego_relative_spatial,5,0,5,0,0.0,0.5,5,0
Meta,TSCD 1,motion_action,13,0,12,1,0.0,0.46153846153846156,12,0
Meta,TSCD 1.5,All,38,4,33,1,0.10526315789473684,0.5394736842105263,33,0
Meta,TSCD 1.5,object_existence,20,4,16,0,0.2,0.6,16,0
Meta,TSCD 1.5,ego_relative_spatial,5,0,5,0,0.0,0.5,5,0
Meta,TSCD 1.5,motion_action,13,0,12,1,0.0,0.46153846153846156,12,0
