n,accuracy,valid_rate,balanced_accuracy,recall,gold_counts,prediction_counts,always_a,a_rate,rescue,damage,excess,model,condition,category,kind,ci_low,ci_high
1000,0.267,1.0,0.2669006964842561,"{'A': 1.0, 'B': 0.015748031496062992, 'C': 0.021551724137931036, 'D': 0.030303030303030304}","{'A': 250, 'D': 264, 'B': 254, 'C': 232}","{'A': 983, 'D': 8, 'C': 5, 'B': 4}",0.25,0.983,17,0,0.017,NoMeta,Base,object_existence,mcq,0.009374926780693533,0.02551573725367155
2000,0.2415,1.0,0.25,"{'A': 1.0, 'B': 0.0, 'C': 0.0, 'D': 0.0}","{'B': 513, 'C': 505, 'D': 499, 'A': 483}",{'A': 2000},0.2415,1.0,0,0,0.0,NoMeta,Base,temporal_grounding,mcq,0.0,0.0
1000,0.261,1.0,0.25693509836533057,"{'A': 0.9647058823529412, 'B': 0.008130081300813009, 'C': 0.04741379310344827, 'D': 0.00749063670411985}","{'A': 255, 'D': 267, 'B': 246, 'C': 232}","{'A': 956, 'C': 36, 'D': 5, 'B': 3}",0.255,0.956,15,9,0.006,NoMeta,Base,ego_relative_spatial,mcq,-0.003593319107842712,0.015837163798993723
2000,0.243,1.0,0.24983123623859976,"{'A': 0.9897119341563786, 'B': 0.005366726296958855, 'C': 0.0, 'D': 0.004246284501061571}","{'A': 486, 'D': 471, 'B': 559, 'C': 484}","{'A': 1986, 'B': 10, 'D': 3, 'C': 1}",0.243,0.993,5,5,0.0,NoMeta,Base,distance_depth,mcq,-0.0030519208219114253,0.0030707030135745076
1000,0.263,1.0,0.26294466179580217,"{'A': 1.0, 'B': 0.03937007874015748, 'C': 0.008620689655172414, 'D': 0.003787878787878788}","{'A': 250, 'D': 264, 'B': 254, 'C': 232}","{'A': 987, 'B': 10, 'C': 2, 'D': 1}",0.25,0.987,13,0,0.013,Meta,Base,object_existence,mcq,0.006191472690440699,0.020912642206838045
2000,0.2415,1.0,0.25,"{'A': 1.0, 'B': 0.0, 'C': 0.0, 'D': 0.0}","{'B': 513, 'C': 505, 'D': 499, 'A': 483}",{'A': 2000},0.2415,1.0,0,0,0.0,Meta,Base,temporal_grounding,mcq,0.0,0.0
1000,0.27,0.994,0.267744556290117,"{'A': 0.8470588235294118, 'B': 0.052845528455284556, 'C': 0.1336206896551724, 'D': 0.03745318352059925}","{'A': 255, 'D': 267, 'B': 246, 'C': 232}","{'A': 830, 'C': 101, 'B': 34, 'D': 29, '<invalid>': 6}",0.255,0.83,54,39,0.015,Meta,Base,ego_relative_spatial,mcq,-0.0057972416113026655,0.03574790607205021
2000,0.244,1.0,0.2503062517463676,"{'A': 0.9794238683127572, 'B': 0.01967799642218247, 'C': 0.0, 'D': 0.0021231422505307855}","{'A': 486, 'D': 471, 'B': 559, 'C': 484}","{'A': 1970, 'D': 2, 'B': 28}",0.243,0.985,12,10,0.001,Meta,Base,distance_depth,mcq,-0.0038095238095238095,0.005905511811023622
6000,0.2495,1.0,0.2538083990672199,"{'A': 0.9905020352781547, 'B': 0.0057251908396946565, 'C': 0.011011699931176875, 'D': 0.007994670219853431}","{'A': 1474, 'D': 1501, 'B': 1572, 'C': 1453}","{'A': 5925, 'D': 16, 'C': 42, 'B': 17}",0.24566666666666667,0.9875,37,14,0.003833333333333333,NoMeta,Base,All MCQ,mcq,0.0015601779424335098,0.006175975510866489
6000,0.25066666666666665,0.999,0.25477298088229566,"{'A': 0.9667571234735414, 'B': 0.021628498727735368, 'C': 0.022711631108052306, 'D': 0.007994670219853431}","{'A': 1474, 'D': 1501, 'B': 1572, 'C': 1453}","{'A': 5787, 'B': 72, 'C': 103, 'D': 32, '<invalid>': 6}",0.24566666666666667,0.9645,79,49,0.005,Meta,Base,All MCQ,mcq,0.0010231662138512705,0.008995324153956272
