n,delta,flip_rate,repaired,regressed,stable_wrong,stable_wrong_rate,model,condition,category,ci_low,ci_high
2000,-0.0015,0.0125,11,14,1059,0.5295,NoMeta,Prompt,object_existence,-0.006503414451341845,0.003418135969606162
2000,0.0,0.0,0,0,1517,0.7585,NoMeta,Prompt,temporal_grounding,0.0,0.0
2000,0.0015,0.0175,12,9,1256,0.628,NoMeta,Prompt,ego_relative_spatial,-0.002737946585799817,0.005726632805205072
2000,-0.01,0.029,19,39,933,0.4665,NoMeta,Prompt,motion_action,-0.017241379310344827,-0.0028596965522493423
2000,0.0065,0.014,16,3,1489,0.7445,NoMeta,Prompt,distance_depth,0.002406159769008662,0.011434511434511435
10000,-0.0007,0.0146,58,65,6254,0.6254,NoMeta,Prompt,Overall,-0.00274252353837454,0.001290469891101439
6000,0.0011666666666666668,0.01,22,15,4458,0.743,NoMeta,Prompt,All MCQ,-0.0008113327702071294,0.003162976527384718
4000,-0.0035,0.0215,36,50,1796,0.449,NoMeta,Prompt,All binary,-0.007371706910333182,0.0002617167348318663
2000,-0.004,0.0245,20,28,1049,0.5245,NoMeta,TSCD .5,object_existence,-0.010390998466208758,0.002100978622096546
2000,0.0,0.0,0,0,1517,0.7585,NoMeta,TSCD .5,temporal_grounding,0.0,0.0
2000,0.001,0.0195,16,14,1257,0.6285,NoMeta,TSCD .5,ego_relative_spatial,-0.0036842105263157894,0.005811278856457424
2000,0.003,0.073,76,70,876,0.438,NoMeta,TSCD .5,motion_action,-0.00889786444883318,0.015144632736336613
2000,0.0015,0.0045,5,2,1507,0.7535,NoMeta,TSCD .5,distance_depth,-0.0005083948735002412,0.0039081582804103565
10000,0.0003,0.0243,117,114,6206,0.6206,NoMeta,TSCD .5,Overall,-0.002459539303213628,0.0031256380468475155
6000,0.0003333333333333333,0.005666666666666667,12,10,4479,0.7465,NoMeta,TSCD .5,All MCQ,-0.001008746674983425,0.0017135612013192431
4000,0.00025,0.05225,105,104,1727,0.43175,NoMeta,TSCD .5,All binary,-0.006477523221254791,0.0071338488840108375
2000,-0.004,0.0265,22,30,1047,0.5235,NoMeta,TSCD 1,object_existence,-0.01073706342935672,0.002500031265632816
2000,0.0,0.0,0,0,1517,0.7585,NoMeta,TSCD 1,temporal_grounding,0.0,0.0
2000,0.001,0.0195,16,14,1257,0.6285,NoMeta,TSCD 1,ego_relative_spatial,-0.0036842105263157894,0.005811278856457424
2000,0.003,0.072,75,69,877,0.4385,NoMeta,TSCD 1,motion_action,-0.008587955101536753,0.014978256563121994
2000,0.002,0.0055,6,2,1505,0.7525,NoMeta,TSCD 1,distance_depth,0.0,0.004547808868753866
10000,0.0004,0.0247,119,115,6203,0.6203,NoMeta,TSCD 1,Overall,-0.0025278649024044557,0.003397150595385656
6000,0.0003333333333333333,0.006166666666666667,13,11,4477,0.7461666666666666,NoMeta,TSCD 1,All MCQ,-0.0010672681570723726,0.0017994585312671996
4000,0.0005,0.0525,106,104,1726,0.4315,NoMeta,TSCD 1,All binary,-0.0064549766939574075,0.00757968798501683
2000,-0.0035,0.028,24,31,1045,0.5225,NoMeta,TSCD 1.5,object_existence,-0.010779029887310143,0.003692080587598411
2000,0.0,0.0,0,0,1517,0.7585,NoMeta,TSCD 1.5,temporal_grounding,0.0,0.0
