model,condition,action,n,correct,accuracy,valid_rate,n_yes,n_no,tpr,fpr
NoMeta,Base,becomes closer to the ego vehicle,415,190,0.4578313253012048,1.0,206,209,0.043689320388349516,0.1339712918660287
NoMeta,Base,maintains a similar relative position,375,226,0.6026666666666667,1.0,145,230,0.5586206896551724,0.3695652173913043
NoMeta,Base,moves farther away from the ego vehicle,488,212,0.4344262295081967,1.0,347,141,0.3025936599423631,0.24113475177304963
NoMeta,Base,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
NoMeta,Base,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
Meta,Base,becomes closer to the ego vehicle,415,185,0.4457831325301205,1.0,206,209,0.07766990291262135,0.19138755980861244
Meta,Base,maintains a similar relative position,375,230,0.6133333333333333,1.0,145,230,0.6137931034482759,0.3869565217391304
Meta,Base,moves farther away from the ego vehicle,488,165,0.33811475409836067,1.0,347,141,0.07204610951008646,0.0070921985815602835
Meta,Base,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
Meta,Base,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
NoMeta,Prompt,becomes closer to the ego vehicle,415,189,0.45542168674698796,1.0,206,209,0.03398058252427184,0.1291866028708134
NoMeta,Prompt,maintains a similar relative position,375,219,0.584,1.0,145,230,0.5517241379310345,0.39565217391304347
NoMeta,Prompt,moves farther away from the ego vehicle,488,200,0.4098360655737705,1.0,347,141,0.27953890489913547,0.2695035460992908
NoMeta,Prompt,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
NoMeta,Prompt,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
Meta,Prompt,becomes closer to the ego vehicle,415,184,0.4433734939759036,1.0,206,209,0.06796116504854369,0.18660287081339713
Meta,Prompt,maintains a similar relative position,375,228,0.608,1.0,145,230,0.593103448275862,0.3826086956521739
Meta,Prompt,moves farther away from the ego vehicle,488,161,0.32991803278688525,1.0,347,141,0.06340057636887608,0.014184397163120567
Meta,Prompt,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
Meta,Prompt,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
NoMeta,TSCD 1,becomes closer to the ego vehicle,415,197,0.4746987951807229,1.0,206,209,0.05825242718446602,0.11483253588516747
NoMeta,TSCD 1,maintains a similar relative position,375,219,0.584,1.0,145,230,0.5862068965517241,0.41739130434782606
NoMeta,TSCD 1,moves farther away from the ego vehicle,488,218,0.44672131147540983,1.0,347,141,0.3314121037463977,0.2695035460992908
NoMeta,TSCD 1,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
NoMeta,TSCD 1,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
NoMeta,TSCD 0.5,becomes closer to the ego vehicle,415,197,0.4746987951807229,1.0,206,209,0.05825242718446602,0.11483253588516747
NoMeta,TSCD 0.5,maintains a similar relative position,375,220,0.5866666666666667,1.0,145,230,0.5862068965517241,0.41304347826086957
NoMeta,TSCD 0.5,moves farther away from the ego vehicle,488,217,0.444672131147541,1.0,347,141,0.3285302593659942,0.2695035460992908
NoMeta,TSCD 0.5,moves left relative to the ego vehicle,344,199,0.5784883720930233,1.0,145,199,0.0,0.0
NoMeta,TSCD 0.5,moves right relative to the ego vehicle,378,221,0.5846560846560847,1.0,157,221,0.0,0.0
Meta,TSCD 0.5,becomes closer to the ego vehicle,415,190,0.4578313253012048,1.0,206,209,0.0970873786407767,0.18660287081339713
Meta,TSCD 0.5,maintains a similar relative position,375,230,0.6133333333333333,1.0,145,230,0.6344827586206897,0.4
