model,category,kind,n,correct,accuracy,valid_rate,n_yes,n_no,tpr,fpr,a_count,a_rate,always_a,rescue,damage,excess_ci
NoMeta,object_existence,binary,1000,663,0.663,1.0,500,500,0.498,0.172,,,,,,
NoMeta,object_existence,mcq,1000,267,0.267,1.0,,,,,983,0.983,0.25,17,0,"[0.009374926780693533, 0.02551573725367155]"
NoMeta,temporal_grounding,mcq,2000,483,0.2415,1.0,,,,,2000,1.0,0.2415,0,0,"[0.0, 0.0]"
NoMeta,ego_relative_spatial,binary,1000,457,0.457,1.0,500,500,0.698,0.784,,,,,,
NoMeta,ego_relative_spatial,mcq,1000,261,0.261,1.0,,,,,956,0.956,0.255,15,9,"[-0.003593319107842712, 0.015837163798993723]"
NoMeta,motion_action,binary,2000,1048,0.524,1.0,1000,1000,0.195,0.147,,,,,,
NoMeta,distance_depth,mcq,2000,486,0.243,1.0,,,,,1986,0.993,0.243,5,5,"[-0.0030519208219114253, 0.0030707030135745076]"
Meta,object_existence,binary,1000,672,0.672,1.0,500,500,0.406,0.062,,,,,,
Meta,object_existence,mcq,1000,263,0.263,1.0,,,,,987,0.987,0.25,13,0,"[0.006191472690440699, 0.020912642206838045]"
Meta,temporal_grounding,mcq,2000,483,0.2415,1.0,,,,,2000,1.0,0.2415,0,0,"[0.0, 0.0]"
Meta,ego_relative_spatial,binary,1000,445,0.445,1.0,500,500,0.638,0.748,,,,,,
Meta,ego_relative_spatial,mcq,1000,270,0.27,0.994,,,,,830,0.83,0.255,54,39,"[-0.0057972416113026655, 0.03574790607205021]"
Meta,motion_action,binary,2000,1000,0.5,1.0,1000,1000,0.13,0.13,,,,,,
Meta,distance_depth,mcq,2000,488,0.244,1.0,,,,,1970,0.985,0.243,12,10,"[-0.0038095238095238095, 0.005905511811023622]"
