model,condition,category,n,correct,accuracy,valid_rate,a_count,a_rate,always_a,rescue,damage,excess_ci,n_yes,n_no,tpr,fpr
NoMeta,Base,object_existence,2000,930,0.465,1.0,,,,,,,,,,
NoMeta,Base,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
NoMeta,Base,ego_relative_spatial,2000,718,0.359,1.0,,,,,,,,,,
NoMeta,Base,motion_action,2000,1048,0.524,1.0,,,,,,,1000,1000,0.195,0.147
NoMeta,Base,distance_depth,2000,486,0.243,1.0,1986,0.993,0.243,5,5,"[-0.0030519208219114253, 0.0030707030135745076]",,,,
NoMeta,Base,Overall,10000,3665,0.3665,1.0,,,,,,,,,,
NoMeta,Base,All binary,4000,2168,0.542,1.0,,,,,,,2000,2000,0.3965,0.3125
NoMeta,Base,All mcq,6000,1497,0.2495,1.0,5925,0.9875,0.24566666666666667,37,14,"[0.0015601779424335098, 0.006175975510866489]",,,,
Meta,Base,object_existence,2000,935,0.4675,1.0,,,,,,,,,,
Meta,Base,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
Meta,Base,ego_relative_spatial,2000,715,0.3575,0.997,,,,,,,,,,
Meta,Base,motion_action,2000,1000,0.5,1.0,,,,,,,1000,1000,0.13,0.13
Meta,Base,distance_depth,2000,488,0.244,1.0,1970,0.985,0.243,12,10,"[-0.0038095238095238095, 0.005905511811023622]",,,,
Meta,Base,Overall,10000,3621,0.3621,0.9994,,,,,,,,,,
Meta,Base,All binary,4000,2117,0.52925,1.0,,,,,,,2000,2000,0.326,0.2675
Meta,Base,All mcq,6000,1504,0.25066666666666665,0.999,5787,0.9645,0.24566666666666667,79,49,"[0.0010231662138512705, 0.008995324153956272]",,,,
NoMeta,Prompt,object_existence,2000,927,0.4635,1.0,,,,,,,,,,
NoMeta,Prompt,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
NoMeta,Prompt,ego_relative_spatial,2000,721,0.3605,0.9965,,,,,,,,,,
NoMeta,Prompt,motion_action,2000,1028,0.514,1.0,,,,,,,1000,1000,0.184,0.156
NoMeta,Prompt,distance_depth,2000,499,0.2495,0.999,1968,0.984,0.243,18,5,"[0.001440922190201729, 0.012177424056981512]",,,,
NoMeta,Prompt,Overall,10000,3658,0.3658,0.9991,,,,,,,,,,
NoMeta,Prompt,All binary,4000,2154,0.5385,1.0,,,,,,,2000,2000,0.3925,0.3155
NoMeta,Prompt,All mcq,6000,1504,0.25066666666666665,0.9985,5895,0.9825,0.24566666666666667,47,17,"[0.0023481856137383397, 0.007774235288696319]",,,,
Meta,Prompt,object_existence,2000,918,0.459,1.0,,,,,,,,,,
Meta,Prompt,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
Meta,Prompt,ego_relative_spatial,2000,684,0.342,0.941,,,,,,,,,,
Meta,Prompt,motion_action,2000,993,0.4965,1.0,,,,,,,1000,1000,0.122,0.129
Meta,Prompt,distance_depth,2000,476,0.238,0.9615,1894,0.947,0.243,9,19,"[-0.012840267077555213, 0.0015968504825841238]",,,,
Meta,Prompt,Overall,10000,3554,0.3554,0.9805,,,,,,,,,,
Meta,Prompt,All binary,4000,2107,0.52675,1.0,,,,,,,2000,2000,0.3225,0.269
Meta,Prompt,All mcq,6000,1447,0.24116666666666667,0.9675,5674,0.9456666666666667,0.24566666666666667,46,73,"[-0.008763260258735776, -0.00016591796286528204]",,,,
NoMeta,TSCD 1,object_existence,2000,922,0.461,1.0,,,,,,,,,,
NoMeta,TSCD 1,temporal_grounding,2000,483,0.2415,1.0,2000,1.0,0.2415,0,0,"[0.0, 0.0]",,,,
NoMeta,TSCD 1,ego_relative_spatial,2000,720,0.36,0.9995,,,,,,,,,,
NoMeta,TSCD 1,motion_action,2000,1054,0.527,1.0,,,,,,,1000,1000,0.212,0.158
NoMeta,TSCD 1,distance_depth,2000,490,0.245,1.0,1979,0.9895,0.243,9,5,"[-0.0018798321203574437, 0.006086195765567013]",,,,
NoMeta,TSCD 1,Overall,10000,3669,0.3669,0.9999,,,,,,,,,,
NoMeta,TSCD 1,All binary,4000,2170,0.5425,1.0,,,,,,,2000,2000,0.404,0.319
