model,condition,scene_id,n,correct
NoMeta,Base,001000833,98,31
NoMeta,Base,001018437,79,26
NoMeta,Base,001082916,69,25
NoMeta,Base,001282585,72,30
NoMeta,Base,001320604,68,21
NoMeta,Base,001416770,35,17
NoMeta,Base,001544104,57,23
NoMeta,Base,001593463,90,28
NoMeta,Base,001722118,41,15
NoMeta,Base,001782394,81,27
NoMeta,Base,001863052,82,23
NoMeta,Base,002003262,82,25
NoMeta,Base,002039574,81,32
NoMeta,Base,002051969,19,8
NoMeta,Base,002079350,40,20
NoMeta,Base,002121102,37,13
NoMeta,Base,002222437,69,28
NoMeta,Base,002242917,65,30
NoMeta,Base,002335619,93,25
NoMeta,Base,002345590,48,20
NoMeta,Base,002367184,63,25
NoMeta,Base,002433679,81,26
NoMeta,Base,002440304,65,32
NoMeta,Base,002480472,98,32
NoMeta,Base,002633958,29,18
NoMeta,Base,002642553,66,20
NoMeta,Base,002721208,120,71
NoMeta,Base,002774969,98,38
NoMeta,Base,002792834,72,30
NoMeta,Base,002817526,45,19
NoMeta,Base,002867953,40,15
NoMeta,Base,002882594,69,18
NoMeta,Base,002928475,79,30
NoMeta,Base,002961505,84,42
NoMeta,Base,002971874,70,27
NoMeta,Base,002976873,33,12
NoMeta,Base,002988708,24,10
NoMeta,Base,003023519,80,19
NoMeta,Base,003034960,70,24
NoMeta,Base,003100313,91,31
NoMeta,Base,003105904,72,24
NoMeta,Base,003117374,87,26
NoMeta,Base,003171807,77,24
NoMeta,Base,003284067,72,33
NoMeta,Base,003357723,57,21
NoMeta,Base,003411715,55,24
NoMeta,Base,003471078,76,34
NoMeta,Base,003522924,71,28
NoMeta,Base,003544634,65,22
NoMeta,Base,003588128,21,8
NoMeta,Base,003619392,74,27
NoMeta,Base,003662992,65,23
NoMeta,Base,003705871,84,26
NoMeta,Base,003730368,66,20
NoMeta,Base,003897137,62,23
NoMeta,Base,003964199,65,21
NoMeta,Base,003994784,70,32
NoMeta,Base,004035421,72,25
NoMeta,Base,004071037,50,29
NoMeta,Base,004279963,84,31
NoMeta,Base,004382413,61,23
NoMeta,Base,004383842,114,44
NoMeta,Base,004578825,79,34
NoMeta,Base,004673817,95,39
NoMeta,Base,004739990,97,32
NoMeta,Base,004771986,50,22
NoMeta,Base,004786749,70,21
NoMeta,Base,004801460,37,14
NoMeta,Base,004977537,91,29
NoMeta,Base,005036851,35,16
NoMeta,Base,005107952,84,28
NoMeta,Base,005116728,71,15
NoMeta,Base,005164155,33,15
NoMeta,Base,005254964,45,9
NoMeta,Base,005280034,63,28
NoMeta,Base,005315054,82,19
NoMeta,Base,005420204,69,16
NoMeta,Base,005463359,32,12
NoMeta,Base,005536384,76,26
NoMeta,Base,005669396,91,28
NoMeta,Base,005745653,30,14
NoMeta,Base,005828436,35,18
NoMeta,Base,006018298,76,30
NoMeta,Base,006081651,60,25
NoMeta,Base,006092198,82,31
NoMeta,Base,006189085,71,21
