model,category,kind,label,recall
NoMeta,object_existence,binary,Yes.,0.498
NoMeta,object_existence,binary,No.,0.828
NoMeta,object_existence,mcq,A,1.0
NoMeta,object_existence,mcq,B,0.015748031496062992
NoMeta,object_existence,mcq,C,0.021551724137931036
NoMeta,object_existence,mcq,D,0.030303030303030304
NoMeta,temporal_grounding,mcq,A,1.0
NoMeta,temporal_grounding,mcq,B,0.0
NoMeta,temporal_grounding,mcq,C,0.0
NoMeta,temporal_grounding,mcq,D,0.0
NoMeta,ego_relative_spatial,binary,Yes.,0.698
NoMeta,ego_relative_spatial,binary,No.,0.216
NoMeta,ego_relative_spatial,mcq,A,0.9647058823529412
NoMeta,ego_relative_spatial,mcq,B,0.008130081300813009
NoMeta,ego_relative_spatial,mcq,C,0.04741379310344827
NoMeta,ego_relative_spatial,mcq,D,0.00749063670411985
NoMeta,motion_action,binary,Yes.,0.195
NoMeta,motion_action,binary,No.,0.853
NoMeta,distance_depth,mcq,A,0.9897119341563786
NoMeta,distance_depth,mcq,B,0.005366726296958855
NoMeta,distance_depth,mcq,C,0.0
NoMeta,distance_depth,mcq,D,0.004246284501061571
Meta,object_existence,binary,Yes.,0.406
Meta,object_existence,binary,No.,0.938
Meta,object_existence,mcq,A,1.0
Meta,object_existence,mcq,B,0.03937007874015748
Meta,object_existence,mcq,C,0.008620689655172414
Meta,object_existence,mcq,D,0.003787878787878788
Meta,temporal_grounding,mcq,A,1.0
Meta,temporal_grounding,mcq,B,0.0
Meta,temporal_grounding,mcq,C,0.0
Meta,temporal_grounding,mcq,D,0.0
Meta,ego_relative_spatial,binary,Yes.,0.638
Meta,ego_relative_spatial,binary,No.,0.252
Meta,ego_relative_spatial,mcq,A,0.8470588235294118
Meta,ego_relative_spatial,mcq,B,0.052845528455284556
Meta,ego_relative_spatial,mcq,C,0.1336206896551724
Meta,ego_relative_spatial,mcq,D,0.03745318352059925
Meta,motion_action,binary,Yes.,0.13
Meta,motion_action,binary,No.,0.87
Meta,distance_depth,mcq,A,0.9794238683127572
Meta,distance_depth,mcq,B,0.01967799642218247
Meta,distance_depth,mcq,C,0.0
Meta,distance_depth,mcq,D,0.0021231422505307855
